Month_Num,Month,Revenue,Profit,Revenue_Change_pct,Profit_Change_pct,Revenue_Alert,Profit_Alert
1,January,18941328.16,5663198.7726125885,,,False,False
2,February,17959172.58,5330747.047135063,-5.1852519089664595,-5.870387723017467,True,True
3,March,17929052.92,5335947.3143611085,-0.16771184677817352,0.09755231640262707,False,False
4,April,18235814.58,5449642.112462773,1.7109752610401596,2.1307331464024637,False,False
5,May,17947071.89,5445670.469004023,-1.5833824627536797,-0.07287897767942475,False,False
6,June,18048931.27,5575001.374726154,0.5675543098300873,2.374930808947484,False,False
7,July,17626297.79,5214699.026276685,-2.3415983676688956,-6.462820800060642,False,True
8,August,17465491.7,5214163.681743798,-0.9123078023294817,-0.010266067709563398,False,False
9,September,18037660.54,5457611.106174327,3.275996174788487,4.668963985210217,False,False
10,October,17804682.64,5310105.76791953,-1.2916192733716803,-2.702745494048131,False,False
11,November,18258601.8,5456177.013893168,2.549436960927487,2.7508161298050338,False,False
12,December,351974779.04,105690877.16774425,1827.7203309182194,1837.0866615694752,False,False
